Student ID,CGPA,Past Events,Interest Domain,Performance Score,Recommended Events,Message
S00001,8.94,[],Cloud Computing,58,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00002,7.2,['Blockchain'],Embedded Systems,47,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00003,9.32,['AI/ML'],IoT,40,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00004,5.25,"['AI/ML', 'AR/VR']",Web Development,49,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00005,6.05,"['Cloud Computing', 'IoT']",IoT,59,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00006,9.11,"['AR/VR', 'Embedded Systems']",Cloud Computing,32,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00007,7.23,"['AR/VR', 'AI/ML', 'Cloud Computing']",AI/ML,83,"['AI Summit', 'AI Research']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00008,8.2,[],IoT,31,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00009,9.3,[],Web Development,44,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00010,5.51,[],IoT,97,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00011,7.98,[],Cybersecurity,58,['Cybersecurity Conference'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00012,9.92,"['IoT', 'Cybersecurity']",Blockchain,65,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00013,9.97,[],Embedded Systems,39,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00014,8.08,"['AI/ML', 'IoT']",AR/VR,97,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00015,9.08,"['Cybersecurity', 'Cloud Computing']",Embedded Systems,98,"['Robotics Expo', 'Hackathon']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00016,5.84,"['AR/VR', 'IoT']",AI/ML,66,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00017,5.65,"['AR/VR', 'Cloud Computing', 'Web Development']",IoT,53,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
